Text Chunk,Question,Answer
,什么是“大语言模型”？,大语言模型是一种基于深度学习的人工智能模型，能够理解和生成人类语言。
" 平安银行股份有限公司

2019 年年度报告

重要提示

1、本行董事会、监事会及董事、监事、高级管理人员保证年度报告内容的真实、准确、完整，

不存在虚假记载、误导性陈述或重大遗漏，并承担个别和连带的法律责任。

2、本行第十一届董事会第五次会议审议了 2019 年年度报告正文及摘要。本次董事会会议应出

席董事 15 人，实到董事 15 人。会议一致同意本报告。

3、普华永道中天会计师事务所（特殊普通合伙）根据国内审计准则对本行 2019 年度财务报告

进行了审计，并出具了标准无保留意见的审计报告。

4、本行董事长谢永林、行长胡跃飞、首席财务官项有志、会计机构负责人朱培卿保证 2",普华永道中天会计师事务所对平安银行2019年度财务报告出具了何种意见的审计报告？,标准无保留意见的审计报告。
"表业经本公司董事会于2020年2月13日决议批准。

二、 重要会计政策和会计估计

1. 编制基础

本财务报表按照中华人民共和国财政部(以下简称“财政部”)于2006年2月15日及以后期间颁布的《企业会 计准则——基本准则》、各项具体会计准则、其后颁布的企业会计准则应用指南、企业会计准则解释及其 他相关规定(以下合称“企业会计准则”)以及中国证券监督管理委员会(以下简称“证监会”)《公开发行证券的 公司信息披露编报规则第15号——财务报告的一般规定》的披露规定编制。

本财务报表以持续经营为基础编制。

141

平安银行股份有限公司

财务报表附注

2019年度 (除特别注明外，金额单",该财务报表的编制依据了哪些主要规定和准则？,该财务报表依据中华人民共和国财政部颁布的《企业会计准则——基本准则》、各项具体会计准则、应用指南、解释及其他相关规定，以及中国证券监督管理委员会《公开发行证券的公司信息披露编报规则第15号——财务报告的一般规定》编制。
" (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

2. 遵循企业会计准则的声明

本财务报表符合企业会计准则的要求，真实、完整地反映了本公司于2019年12月31日的财务状况以及 2019年度的经营成果和现金流量等有关信息。

3. 会计年度

本公司的会计年度自公历1月1日起至12月31日止。

4. 记账本位币

本公司境内分行的记账本位币为人民币，境外分行根据其经营所处的主要经济环境中的货币确定其记账本

位币。本公司编制本财务报表所采用的货币为人民币。除有特别说明外，本财务报表均以人民币百万元为

单位列示。

5.",本公司的会计年度是如何规定的？,本公司的会计年度自公历1月1日起至12月31日止。
"表所采用的货币为人民币。除有特别说明外，本财务报表均以人民币百万元为

单位列示。

5. 记账基础和计价原则

本公司的会计核算以权责发生制为基础，除交易性金融资产/负债、衍生金融工具、以公允价值计量且其

变动计入其他综合收益的拆出资金、以公允价值计量且其变动计入其他综合收益的发放贷款和垫款、其他

债权投资和其他权益工具投资等以公允价值计量外，其余均以历史成本为计价原则。资产如果发生减值，

则按照相关规定计提相应的减值准备。

6.",本公司的会计核算以什么为基础？,权责发生制。
"余均以历史成本为计价原则。资产如果发生减值，

则按照相关规定计提相应的减值准备。

6. 企业合并及合并财务报表

企业合并指将两个或两个以上单独的企业合并形成一个报告主体的交易或事项。企业合并分为同一控制下

企业合并和非同一控制下企业合并。

同一控制下的企业合并

参与合并的企业在合并前后均受同一方或相同的多方最终控制，且该控制并非暂时性的，为同一控制下的

企业合并。同一控制下的企业合并，在合并日取得对其他参与合并企业控制权的一方为合并方，参与合并

的其他企业为被合并方。合并日指合并方实际取得对被合并方控制权的日期。

合并方支付的合并对价及取得的净资产均按账面价值计量。合并方取得",同一控制下的企业合并中，合并方支付的合并对价及取得的净资产按什么价值计量？,按账面价值计量。
" (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

6. 企业合并及合并财务报表(续)

非同一控制下的企业合并

参与合并的企业在合并前后不受同一方或相同的多方最终控制的，为非同一控制下的企业合并。非同一控

制下的企业合并，在购买日取得对其他参与合并企业控制权的一方为购买方，参与合并的其他企业为被购

买方。购买日为购买方实际取得对被购买方控制权的日期。

非同一控制下企业合并中所取得的被购买方可辨认净资产按照可辨认资产、负债及或有负债在购买日的公

允价值计量。

购买方发生的合并成本及在合并中取得的可辨认净资产按购买日的公允价值计量。合并成本大于合并中",什么是非同一控制下的企业合并？,非同一控制下的企业合并是指参与合并的企业在合并前后不受同一方或相同的多方最终控制。在合并中，购买日是购买方实际取得对被购买方控制权的日期，购买方为取得控制权的一方，被购买方为参与合并的其他企业。合并中取得的被购买方可辨认净资产按购买日的公允价值计量。
" (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

7. 外币折算

本公司对于发生的外币交易，将外币金额折算为记账本位币金额。

外币交易在初始确认时，采用交易发生日的即期汇率将外币金额折算为记账本位币金额。于资产负债表日，

对于外币货币性项目采用资产负债表日即期汇率折算，由此产生的结算和货币性项目折算差额计入利润表

的“汇兑损益”或“其他综合收益”。以历史成本计量的外币非货币性项目按初始交易日的汇率折算；以公允 价值计量的外币非货币性项目以公允价值确认日的即期汇率折算，由此产生的差额根据非货币性项目的性

质计入利润表的“汇兑损益”或“其他综合收益”。",在资产负债表日，外币货币性项目采用何种汇率进行折算，由此产生的差额计入何处？,采用资产负债表日即期汇率折算，由此产生的结算和货币性项目折算差额计入利润表的“汇兑损益”或“其他综合收益”。
"采用现金流量发生日的即期汇率折算。汇率变动对现金的影响额，在现金流量表中单独列示。

8. 贵金属

贵金属主要包括黄金。本公司非交易性贵金属按照取得时的成本进行初始计量，以成本与可变现净值较低

者进行后续计量。本公司为交易目的而获得的贵金属按照取得时的公允价值进行初始确认，并以公允价值

于资产负债表日进行后续计量，相关变动计入当期损益。

9.",贵金属在资产负债表日如何计量？,非交易性贵金属以成本与可变现净值较低者进行后续计量；为交易目的而持有的贵金属以公允价值进行后续计量，其变动计入当期损益。
"值进行初始确认，并以公允价值

于资产负债表日进行后续计量，相关变动计入当期损益。

9. 金融资产和金融负债

(i)

金融工具的初始确认和计量

当本公司成为金融工具合同的一方时，确认相关的金融资产或金融负债。

于初始确认时，本公司按公允价值计量金融资产或金融负债，对于不是以公允价值计量且其变动计入当期

损益的金融资产或金融负债，则还应该加上或减去可直接归属于获得或发行该金融资产或金融负债的交易

费用，例如手续费和佣金。以公允价值计量且其变动计入当期损益的金融资产和金融负债的交易费用作为

费用计入损益。初始确认后，对于以摊余成本计量的金融资产以及以公允价值计量且其变动计入其他综合",金融工具的初始确认和计量是在何时进行的，其计量基础是什么？,当公司成为金融工具合同的一方时，确认相关的金融资产或金融负债。于初始确认时，公司按公允价值计量金融资产或金融负债。对于不是以公允价值计量且其变动计入当期损益的金融工具，其初始计量金额还应加上或减去可直接归属于获得或发行该金融工具的交易费用。
